title,score,director,genre
"""mixed up""",3.467880085653105,nishi chawla,"drama, romance"
#alive,3.5582627118644066,cho il,"horror movies, international movies, thrillers"
#annefrank - parallel stories,3.55761316872428,"sabina fedeli, anna migotto","documentaries, international movies"
#cats_the_mewvie,3.484909456740443,michael margolis,"documentaries, international movies"
#friendbutmarried,3.4935779816513763,rako prijanto,"dramas, international movies, romantic movies"
#friendbutmarried 2,3.5394190871369293,rako prijanto,"dramas, international movies, romantic movies"
#home,3.4757383966244726,rojin thomas,drama
#home (4k uhd),3.454248366013072,rojin thomas,drama
#lucky number,3.5339321357285427,brendan gabriel murphy,comedy
#realityhigh,3.5506958250497016,fernando lebrija,comedies
#roxy,3.565868263473054,michael kennedy,"comedies, romantic movies"
#rucker50,3.5363825363825363,robert mccullough jr.,"documentaries, sports movies"
#selfie,3.482494529540481,cristina jacob,"comedies, dramas, international movies"
#selfie 69,3.5622489959839356,cristina jacob,"comedies, dramas, international movies"
#unfit: the psychology of donald trump,3.486734693877551,dan partland,"documentary, drama"
'76,3.5091093117408905,izu ojukwu,"dramas, international movies"
(500) days of summer,3.5269396551724137,marc webb,comedy
(t)error,3.6072186836518045,"lyric r. cabral, david felix sutcliffe",documentaries
1 chance 2 dance,3.5056053811659194,adam deyoe,"dramas, romantic movies"
1 mile to you,3.6399132321041217,leif tilden,"dramas, romantic movies, sports movies"
1 night in san diego,3.5833333333333335,penelope lawson,comedy
1/2 new year,3.6183127572016462,tom morash,"comedy, drama"
10 cent pistol,3.4945770065075923,michael c. martin,"action, suspense"
10 days in sun city,3.550213675213675,adze ugah,"comedies, international movies, romantic movies"
10 endrathukulla,3.4910913140311806,vijay milton,"action, romance"
10 hours for christmas,3.5675944333996026,cris d’amato,"comedy, kids"
10 items or less,3.5204545454545455,brad silberling,"comedy, drama"
10 jours en or,3.521472392638037,nicolas brossette,"comedies, dramas, international movies"
10 little buses & more counting songs for kids - kiiyii,3.4632936507936507,moonbug entertainment,kids
10 minute meditation for sleep,3.624223602484472,jim wilmer,faith and spirituality
10 minutes gone,3.5365853658536586,brian a. miller,"action, adventure, suspense"
10 minutes gone (4k uhd),3.495019920318725,brian a. miller,"action, adventure, suspense"
10 rillington place,3.5723014256619146,richard fleischer,"action, drama, suspense"
10 things i hate about you,3.5386904761904763,gil junger,"comedy, drama, romance"
10 to midnight,3.483539094650206,j. lee thompson,"action, adventure"
"10,000 b.c.",3.4957356076759063,roland emmerich,action & adventure
10-minute guided meditation,3.4793926247288502,mark knight,"fitness, special interest"
10.0 earthquake,3.556862745098039,david gidali,science fiction
10/31 part 2,3.5675675675675675,"brett dejager, max groah, john hale iii, zane hershberger, robert lanphere, jennifer nangle, tory van buskirk, stephen wolfe",horror
100 days to live,3.512948207171315,ravin gandhi,"horror, suspense"
100 girls,3.5697674418604652,michael davis,comedy
100 kilos,3.4695481335952847,rod s. scott,"action, drama, suspense"
100 meters,3.5373626373626372,marcel barrena,"dramas, international movies, sports movies"
100 streets,3.518269230769231,jim o'hanlon,"action, drama, suspense"
100 women,3.5878524945770067,michael davis,comedy
100 years: one woman's fight for justice,3.5386178861788617,melinda janko,documentaries
100% halal,3.542976939203354,jastis arimba,"dramas, international movies"
100-minutes of symphony on washington's lake crescent,3.589866156787763,mark knight,"arts, entertainment, and culture, music videos and concerts, special interest"
1000 rupee note,3.504385964912281,shrihari sathe,"dramas, international movies"
100m criminal conviction,3.59297520661157,kathi selvakumar,"drama, suspense"
101 dalmatians,3.483739837398374,"wolfgang reitherman, hamilton luske, clyde geronimi","action-adventure, animation, family"
101 dalmatians ii: patch's london adventure,3.5269058295964126,"jim kammerud, brian smith","action-adventure, animation"
102 dalmatians,3.5575221238938055,kevin lima,"action-adventure, animals & nature, family"
102 not out,3.467021276595745,umesh shukla,"comedy, drama"
12 'o' clock,3.54020618556701,ram gopal varma,horror
12 dates of christmas,3.470472440944882,james hayman,"comedy, family, fantasy"
12 round gun,3.5797413793103448,sam upton,"dramas, independent movies, sports movies"
12 rounds 3: lockdown,3.5308764940239046,stephen reynolds,"action, adventure, suspense"
122,3.5680894308943087,yasir al yasiri,"horror movies, international movies"
12b,3.448744769874477,jeeva,"drama, romance"
13 assassins (english subtitled),3.5783505154639177,"takashi miike, takashi hirajô","action, arthouse, drama"
13 cameras,3.5757575757575757,victor zarcoff,"horror movies, independent movies, thrillers"
13 sins,3.531712473572939,daniel stamm,"horror movies, thrillers"
13 teen,3.549800796812749,pritesh chheda,suspense
13aam number veedu,3.4880239520958085,vivy kathiresan,horror
13th,3.5447598253275108,ava duvernay,documentaries
13th locker,3.445859872611465,adam montierth,"drama, suspense"
14 blades,3.4245283018867925,daniel lee,"action & adventure, international movies"
14 cameras,3.4954710144927534,"scott hussion, seth fuller","horror movies, thrillers"
